"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId","team","teamnat"
23876,993,838,1,"2",11,"\N","R",15,0,45,"\N","\N","38","16","1:22.594","202.896",6,"McLaren","British"
23878,993,8,6,"7",4,"\N","R",17,0,25,"\N","\N","23","11","1:21.531","205.541",101,"Ferrari","Italian"
23879,993,154,210,"8",10,"\N","R",18,0,0,"\N","\N","\N","0","\N","\N",4,"Haas F1 Team","American"
23882,994,817,9,"3",1,"1","1",1,25,78,"1:42:54.807","6174807","13","5","1:15.562","158.984",1,"Red Bull","Austrian"
23883,994,20,6,"5",2,"2","2",2,18,78,"+7.336","6182143","14","7","1:16.065","157.933",1,"Ferrari","Italian"
23884,994,1,131,"44",3,"3","3",3,15,78,"+17.013","6191820","15","8","1:16.270","157.508",1,"Mercedes","German"
23885,994,8,6,"7",4,"4","4",4,12,78,"+18.127","6192934","13","10","1:16.392","157.257",1,"Ferrari","Italian"
23886,994,822,131,"77",5,"5","5",5,10,78,"+18.822","6193629","21","9","1:16.312","157.422",1,"Mercedes","German"
23890,994,830,9,"33",20,"9","9",9,2,78,"+25.317","6200124","60","1","1:14.260","161.772",1,"Red Bull","Austrian"
23894,994,825,210,"20",19,"13","13",13,0,78,"+1:14.823","6249630","20","17","1:17.476","155.057",1,"Haas F1 Team","American"
23895,994,838,1,"2",12,"14","14",14,0,77,"\N","\N","76","11","1:16.864","156.291",11,"McLaren","British"
23896,994,154,210,"8",18,"15","15",15,0,77,"\N","\N","74","2","1:14.822","160.557",11,"Haas F1 Team","American"
23897,994,845,3,"35",13,"16","16",16,0,77,"\N","\N","75","4","1:15.325","159.484",11,"Williams","British"
23898,994,840,3,"18",17,"17","17",17,0,76,"\N","\N","61","3","1:14.944","160.295",12,"Williams","British"
23901,994,4,1,"14",7,"\N","R",20,0,52,"\N","\N","23","13","1:17.018","155.979",6,"McLaren","British"
23902,995,20,6,"5",1,"1","1",1,25,68,"1:28:31.377","5311377","57","2","1:13.964","212.260",1,"Ferrari","Italian"
23903,995,822,131,"77",2,"2","2",2,18,68,"+7.376","5318753","51","3","1:13.992","212.179",1,"Mercedes","German"
23904,995,830,9,"33",3,"3","3",3,15,68,"+8.360","5319737","65","1","1:13.864","212.547",1,"Red Bull","Austrian"
